table_number,table_title,title_fr,row_label,row_kind,year,value,provisional,n_editions,agreement,edition,page
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Mandats payés en Tunisie,data,2015,601439.0,False,1,single source,2019,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Mandats payés en Tunisie,data,2016,622161.0,False,2,confirmed,2020,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Mandats payés en Tunisie,data,2017,706548.0,False,3,confirmed,2021,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Mandats payés en Tunisie,data,2018,895519.0,False,4,confirmed,2022,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Mandats payés en Tunisie,data,2019,1101310.0,False,5,confirmed,2023,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Mandats payés en Tunisie,data,2020,1432615.0,False,4,confirmed,2023,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Mandats payés en Tunisie,data,2021,2116925.0,False,3,confirmed,2023,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Mandats payés en Tunisie,data,2022,2336595.0,False,2,confirmed,2023,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Mandats payés en Tunisie,data,2023,2714045.0,False,1,single source,2023,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Mandats émis en Tunisie,data,2015,42820.0,False,1,single source,2019,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Mandats émis en Tunisie,data,2016,32573.0,False,2,confirmed,2020,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Mandats émis en Tunisie,data,2017,22882.0,False,3,confirmed,2021,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Mandats émis en Tunisie,data,2018,20257.0,False,4,confirmed,2022,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Mandats émis en Tunisie,data,2019,21498.0,False,5,confirmed,2023,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Mandats émis en Tunisie,data,2020,20381.0,False,4,confirmed,2023,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Mandats émis en Tunisie,data,2021,12162.0,False,3,confirmed,2023,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Mandats émis en Tunisie,data,2022,8960.0,False,2,confirmed,2023,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Mandats émis en Tunisie,data,2023,7853.0,False,1,single source,2023,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Solde,data,2015,558619.0,False,1,single source,2019,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Solde,data,2016,589588.0,False,2,confirmed,2020,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Solde,data,2017,683666.0,False,3,confirmed,2021,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Solde,data,2018,875262.0,False,4,confirmed,2022,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Solde,data,2019,1079812.0,False,5,confirmed,2023,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Solde,data,2020,1412234.0,False,4,confirmed,2023,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Solde,data,2021,2104763.0,False,3,confirmed,2023,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Solde,data,2022,2327635.0,False,2,confirmed,2023,202
12.2.4,Balance du trafic des mandats (régime international) ) ميزان نشاط الحواالت (نظام دولي4,balance du trafic des mandats (régime international) ) ( 4,Solde,data,2023,2706189.0,False,1,single source,2023,202
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats payés en Tunisie,data,2006,424075.0,False,1,single source,2010,207
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats payés en Tunisie,data,2007,484440.0,False,2,confirmed,2011,209
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats payés en Tunisie,data,2008,519637.0,False,3,confirmed,2012,207
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats payés en Tunisie,data,2009,530234.0,False,3,confirmed,2012,207
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats payés en Tunisie,data,2010,571665.0,False,4,confirmed,2014,199
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats payés en Tunisie,data,2011,546154.0,False,4,confirmed,2015,198
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats payés en Tunisie,data,2012,602041.0,False,4,confirmed,2016,198
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats payés en Tunisie,data,2013,590391.0,False,4,confirmed,2017,198
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats payés en Tunisie,data,2014,603715.0,False,5,confirmed,2018,202
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats payés en Tunisie,data,2015,601439.0,False,4,confirmed,2018,202
12.2.4,Balance du trafic des mandats ميزان نشاط الحواالت4,balance du trafic des mandats 4,Mandats payés en Tunisie,data,2016,622161.0,False,3,confirmed,2018,202
