series,description,unit,year,month,t,running,treated,value,log_value,published_share
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2009,10,2009.75,-15,False,48824.0,10.795977274224331,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2009,11,2009.8333333333333,-14,False,45056.0,10.715661439517714,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2009,12,2009.9166666666667,-13,False,42090.0,10.647565461764616,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2010,1,2010.0,-12,False,43887.0,10.689373427646196,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2010,2,2010.0833333333333,-11,False,41662.0,10.63734472134386,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2010,3,2010.1666666666667,-10,False,48526.0,10.789855015758926,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2010,4,2010.25,-9,False,48080.0,10.780621569209089,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2010,5,2010.3333333333333,-8,False,46825.0,10.754172527312289,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2010,6,2010.4166666666667,-7,False,44202.0,10.696525315910868,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2010,7,2010.5,-6,False,43533.0,10.681274550159202,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2010,8,2010.5833333333333,-5,False,45851.0,10.733152287697589,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2010,9,2010.6666666666667,-4,False,48489.0,10.78909224707792,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2010,10,2010.75,-3,False,52489.0,10.868358902817011,1.0
