outcome,frequency,scale,method,bandwidth,donut,n_left,n_right,tau,se,honest_lo,honest_hi,worst_case_bias,honest_excludes_zero,bias_exceeds_estimate,randomisation_p,randomisation_floor,smoothness,refused
industrial_prices: Industries diverses (base 2010),monthly,log,continuity,6,0,6,7,-0.004227,0.000729,-0.008169,-0.000284,0.002744,True,False,,,0.000374,
industrial_prices: Industries diverses (base 2010),monthly,log,continuity,6,1,6,6,-0.001619,0.000979,-0.007273,0.004034,0.004044,False,True,,,0.000374,
industrial_prices: Industries diverses (base 2010),monthly,log,continuity,12,0,12,13,-0.007794,0.002039,-0.021469,0.005881,0.010321,False,True,,,0.000374,
industrial_prices: Industries diverses (base 2010),monthly,log,continuity,12,1,12,12,-0.008736,0.003026,-0.02658,0.009108,0.012866,False,True,,,0.000374,
industrial_prices: Industries diverses (base 2010),monthly,log,continuity,24,0,12,25,-0.009432,0.001912,-0.040805,0.021941,0.028228,False,True,,,0.000374,
industrial_prices: Industries diverses (base 2010),monthly,log,continuity,24,1,12,24,-0.010598,0.00211,-0.04736,0.026165,0.033292,False,True,,,0.000374,
industrial_prices: Industries diverses (base 2010),monthly,log,continuity,36,0,12,37,-0.002264,0.004818,-0.063144,0.058615,0.052954,False,True,,,0.000374,
industrial_prices: Industries diverses (base 2010),monthly,log,continuity,36,1,12,36,-0.001733,0.005528,-0.071367,0.067901,0.060542,False,True,,,0.000374,
industrial_prices: Industries diverses (base 2010),monthly,log,continuity,60,0,12,61,0.011688,0.010168,-0.136951,0.160327,0.131914,False,True,,,0.000374,
industrial_prices: Industries diverses (base 2010),monthly,log,continuity,60,1,12,60,0.013454,0.010551,-0.148455,0.175362,0.144553,False,True,,,0.000374,
industrial_prices: Industries diverses (base 2010),monthly,log,randomisation,6,0,6,7,,,,,,False,False,0.014569,0.0005827505827505828,0.000374,
