indicator,year,governorate,breakdown,summed,printed,gap,reason
population_by_age,2008,Mahdia,40-44,,,0.29999999999999716,men plus women do not make the figure printed for both sexes
population_by_age,2009,Mahdia,45-49,,,6.300000000000001,men plus women do not make the figure printed for both sexes
population_by_age,2009,Mahdia,50-54,,,5.699999999999999,men plus women do not make the figure printed for both sexes
population_by_age,2009,Mahdia,55-59,,,4.699999999999999,men plus women do not make the figure printed for both sexes
population_by_age,2009,Mahdia,60-64,,,3.8000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2009,Mahdia,65-69,,,3.1999999999999984,men plus women do not make the figure printed for both sexes
population_by_age,2009,Mahdia,70-74,,,2.299999999999999,men plus women do not make the figure printed for both sexes
population_by_age,2009,Mahdia,75-79,,,2.6000000000000005,men plus women do not make the figure printed for both sexes
population_by_age,2009,Mahdia,80+,,,2.0999999999999996,men plus women do not make the figure printed for both sexes
population_by_age,2014,Mahdia,00-04,,,1.3999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2018,Mahdia,45-49,,,19.6,men plus women do not make the figure printed for both sexes
population_by_age,2018,Mahdia,50-54,,,19.6,men plus women do not make the figure printed for both sexes
population_by_age,2018,Mahdia,55-59,,,17.500000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2018,Mahdia,60-64,,,13.399999999999999,men plus women do not make the figure printed for both sexes
population_by_age,2018,Mahdia,65-69,,,9.3,men plus women do not make the figure printed for both sexes
population_by_age,2018,Mahdia,70-74,,,5.5,men plus women do not make the figure printed for both sexes
population_by_age,2018,Mahdia,75-79,,,4.500000000000001,men plus women do not make the figure printed for both sexes
population_by_age,2018,Mahdia,80+,,,5.0,men plus women do not make the figure printed for both sexes
population_by_age,2007,Manouba,45-49,,,0.40000000000000213,men plus women do not make the figure printed for both sexes
population_by_age,2007,Manouba,50-54,,,0.5,men plus women do not make the figure printed for both sexes
population_by_age,2007,Manouba,55-59,,,0.5999999999999996,men plus women do not make the figure printed for both sexes
population_by_age,2007,Manouba,60-64,,,0.40000000000000036,men plus women do not make the figure printed for both sexes
population_by_age,2008,Manouba,10-14,,,0.3000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2008,Manouba,15-19,,,0.3999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2008,Manouba,20-24,,,0.29999999999999716,men plus women do not make the figure printed for both sexes
population_by_age,2008,Manouba,25-29,,,0.30000000000000426,men plus women do not make the figure printed for both sexes
population_by_age,2008,Manouba,30-34,,,0.7000000000000028,men plus women do not make the figure printed for both sexes
population_by_age,2008,Manouba,35-39,,,0.3000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2014,Manouba,00-04,,,2.3000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2007,Monastir,45-49,,,0.40000000000000213,men plus women do not make the figure printed for both sexes
population_by_age,2007,Monastir,50-54,,,0.6000000000000014,men plus women do not make the figure printed for both sexes
population_by_age,2007,Monastir,55-59,,,0.5000000000000018,men plus women do not make the figure printed for both sexes
population_by_age,2008,Monastir,00-04,,,0.5999999999999943,men plus women do not make the figure printed for both sexes
population_by_age,2008,Monastir,05-09,,,0.30000000000000426,men plus women do not make the figure printed for both sexes
population_by_age,2008,Monastir,10-14,,,0.20000000000000284,men plus women do not make the figure printed for both sexes
population_by_age,2008,Monastir,15-19,,,0.20000000000000284,men plus women do not make the figure printed for both sexes
population_by_age,2008,Monastir,25-29,,,0.7000000000000028,men plus women do not make the figure printed for both sexes
population_by_age,2008,Monastir,30-34,,,1.1000000000000014,men plus women do not make the figure printed for both sexes
population_by_age,2008,Monastir,35-39,,,0.5,men plus women do not make the figure printed for both sexes
population_by_age,2008,Monastir,40-44,,,0.29999999999999716,men plus women do not make the figure printed for both sexes
population_by_age,2009,Monastir,45-49,,,15.399999999999997,men plus women do not make the figure printed for both sexes
population_by_age,2009,Monastir,50-54,,,12.0,men plus women do not make the figure printed for both sexes
population_by_age,2009,Monastir,55-59,,,7.200000000000001,men plus women do not make the figure printed for both sexes
population_by_age,2009,Monastir,60-64,,,5.9,men plus women do not make the figure printed for both sexes
population_by_age,2009,Monastir,65-69,,,4.8,men plus women do not make the figure printed for both sexes
population_by_age,2009,Monastir,70-74,,,3.2,men plus women do not make the figure printed for both sexes
population_by_age,2009,Monastir,75-79,,,2.6999999999999997,men plus women do not make the figure printed for both sexes
population_by_age,2009,Monastir,80+,,,2.5999999999999996,men plus women do not make the figure printed for both sexes
population_by_age,2014,Monastir,00-04,,,2.5999999999999943,men plus women do not make the figure printed for both sexes
population_by_age,2018,Monastir,45-49,,,5.099999999999994,men plus women do not make the figure printed for both sexes
population_by_age,2018,Monastir,50-54,,,5.700000000000003,men plus women do not make the figure printed for both sexes
population_by_age,2018,Monastir,55-59,,,4.0,men plus women do not make the figure printed for both sexes
population_by_age,2018,Monastir,60-64,,,2.200000000000003,men plus women do not make the figure printed for both sexes
population_by_age,2018,Monastir,65-69,,,1.3000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2018,Monastir,70-74,,,0.6000000000000014,men plus women do not make the figure printed for both sexes
population_by_age,2018,Monastir,75-79,,,0.20000000000000018,men plus women do not make the figure printed for both sexes
population_by_age,2018,Monastir,80+,,,0.7999999999999989,men plus women do not make the figure printed for both sexes
population_by_age,2007,Médenine,45-49,,,0.3000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2007,Médenine,50-54,,,0.40000000000000213,men plus women do not make the figure printed for both sexes
population_by_age,2007,Médenine,55-59,,,0.3999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2008,Médenine,00-04,,,0.3999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2008,Médenine,10-14,,,0.6000000000000014,men plus women do not make the figure printed for both sexes
population_by_age,2008,Médenine,15-19,,,0.6999999999999957,men plus women do not make the figure printed for both sexes
population_by_age,2008,Médenine,25-29,,,0.6000000000000014,men plus women do not make the figure printed for both sexes
population_by_age,2008,Médenine,30-34,,,0.6000000000000014,men plus women do not make the figure printed for both sexes
population_by_age,2008,Médenine,35-39,,,0.6000000000000014,men plus women do not make the figure printed for both sexes
population_by_age,2008,Médenine,40-44,,,0.3999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2014,Médenine,00-04,,,2.700000000000003,men plus women do not make the figure printed for both sexes
population_by_age,2018,Médenine,45-49,,,10.700000000000003,men plus women do not make the figure printed for both sexes
population_by_age,2018,Médenine,50-54,,,9.0,men plus women do not make the figure printed for both sexes
population_by_age,2018,Médenine,55-59,,,8.799999999999997,men plus women do not make the figure printed for both sexes
population_by_age,2018,Médenine,60-64,,,6.800000000000001,men plus women do not make the figure printed for both sexes
population_by_age,2018,Médenine,65-69,,,5.4,men plus women do not make the figure printed for both sexes
population_by_age,2018,Médenine,70-74,,,3.6999999999999993,men plus women do not make the figure printed for both sexes
population_by_age,2018,Médenine,75-79,,,2.9000000000000004,men plus women do not make the figure printed for both sexes
population_by_age,2018,Médenine,80+,,,4.6000000000000005,men plus women do not make the figure printed for both sexes
population_by_age,2007,Nabeul,45-49,,,0.7999999999999972,men plus women do not make the figure printed for both sexes
population_by_age,2007,Nabeul,50-54,,,0.6999999999999957,men plus women do not make the figure printed for both sexes
population_by_age,2007,Nabeul,55-59,,,0.6999999999999993,men plus women do not make the figure printed for both sexes
population_by_age,2007,Nabeul,60-64,,,0.40000000000000213,men plus women do not make the figure printed for both sexes
population_by_age,2007,Nabeul,65-69,,,0.30000000000000426,men plus women do not make the figure printed for both sexes
population_by_age,2007,Nabeul,75-79,,,0.3000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2008,Nabeul,00-04,,,0.5,men plus women do not make the figure printed for both sexes
population_by_age,2008,Nabeul,05-09,,,0.4000000000000057,men plus women do not make the figure printed for both sexes
population_by_age,2008,Nabeul,10-14,,,0.29999999999999716,men plus women do not make the figure printed for both sexes
population_by_age,2008,Nabeul,15-19,,,0.8000000000000114,men plus women do not make the figure printed for both sexes
population_by_age,2008,Nabeul,25-29,,,0.5,men plus women do not make the figure printed for both sexes
population_by_age,2008,Nabeul,30-34,,,0.4999999999999929,men plus women do not make the figure printed for both sexes
population_by_age,2008,Nabeul,35-39,,,0.5,men plus women do not make the figure printed for both sexes
population_by_age,2008,Nabeul,40-44,,,0.5,men plus women do not make the figure printed for both sexes
population_by_age,2014,Nabeul,00-04,,,4.299999999999997,men plus women do not make the figure printed for both sexes
population_by_age,2007,Sfax,45-49,,,1.0,men plus women do not make the figure printed for both sexes
population_by_age,2007,Sfax,50-54,,,1.1999999999999957,men plus women do not make the figure printed for both sexes
population_by_age,2007,Sfax,55-59,,,0.9000000000000021,men plus women do not make the figure printed for both sexes
population_by_age,2007,Sfax,60-64,,,0.40000000000000213,men plus women do not make the figure printed for both sexes
population_by_age,2007,Sfax,70-74,,,0.19999999999999574,men plus women do not make the figure printed for both sexes
population_by_age,2007,Sfax,75-79,,,0.3999999999999986,men plus women do not make the figure printed for both sexes
