product_code,product_label_fr,consumption_function_code,consumption_function,consumption_function_fr
1414,Veau ou bœuf vivant,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1415,Os de bœuf,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1419,Viande bovine sans indication,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1421,Viande de caprin,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1422,Tête et pattes de caprin,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1423,Chèvre ou chevreau vivant,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1431,Viande de chameau,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1432,Viande de tête de chameau,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1433,Chameau vivant,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1441,Tripes de mouton,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1442,Tripes de bœuf,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1443,Tripes de caprin,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1444,Tripes de chameau,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1445,Daouara de mouton,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1446,Daouara de caprin,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1447,Daouara sans indications,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1449,Autres (langue…),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1451,Foie de mouton,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1452,Foie de bœuf,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1453,Foie de caprin,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1454,Foie de chameau,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1455,"Rognon, rognon blanc, cervelle",1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1461,Viande hachée bovine,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1462,Merguez,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1463,Salami de bœuf,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1471,Poulet vif,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1472,Poulet éplumé,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1473,Viande de poulet en détail (foie de poulet…),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1474,Dindon vif,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1475,Escalope de dinde,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1476,"Autre viande de dinde (salami, quika...)",1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1477,Viande d’autruche,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1478,Lapin,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1479,"Autres volailles et gibiers (perdrix , alouette, caille, tourterelle…)",1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1481,Viande  chevaline,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1482,Merguez chevaline,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1483,Viande de porc,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1491,« knor » viandes,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1492,« knor » volailles,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1511,Sardine,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1512,Maquereau,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1513,Rouget,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1514,Pageau,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1515,Mulet,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1516,""" Sbares""",1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1517,loup de mer,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1518,daurade,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1519,Autres variétés de poisons frais,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1521,Poulpe frais,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1522,Seiche,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1523,Calamar,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1531,Escargot,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1532,Fruits de mer(écrevisse…),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1533,"Crustacés (chevrette, crevettes, langouste)",1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1534,Poissons congelés,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1541,Poisons salés séchés,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
